"zip","population","city","county"
"34787",86913,"Winter Garden","Orange County"
"34953",78558,"Port Saint Lucie","St. Lucie County"
"33311",75435,"Fort Lauderdale","Broward County"
"33411",73919,"West Palm Beach","Palm Beach County"
"33024",73405,"Hollywood","Broward County"
"33025",72684,"Hollywood","Broward County"
"33647",72323,"Tampa","Hillsborough County"
"33023",71749,"Hollywood","Broward County"
"33012",71088,"Hialeah","Miami-Dade County"
"32828",69778,"Orlando","Orange County"
"33157",69152,"Miami","Miami-Dade County"
"32218",68996,"Jacksonville","Duval County"
"33186",68750,"Miami","Miami-Dade County"
"33015",68517,"Hialeah","Miami-Dade County"
"32822",68321,"Orlando","Orange County"
"33033",68121,"Homestead","Miami-Dade County"
"32210",67110,"Jacksonville","Duval County"
"34711",66744,"Clermont","Lake County"
"32259",66518,"Saint Johns","St. Johns County"
"33463",65766,"Lake Worth","Palm Beach County"
"32244",65499,"Jacksonville","Duval County"
"33178",64751,"Miami","Miami-Dade County"
"33027",63474,"Hollywood","Broward County"
"32765",63210,"Oviedo","Seminole County"
"32825",63056,"Orlando","Orange County"
"32808",62827,"Orlando","Orange County"
"32818",62566,"Orlando","Orange County"
"33313",62232,"Fort Lauderdale","Broward County"
"34744",60995,"Kissimmee","Osceola County"
"33065",60600,"Coral Springs","Broward County"
"33064",60009,"Pompano Beach","Broward County"
"32771",59134,"Sanford","Seminole County"
"33142",59121,"Miami","Miami-Dade County"
"33511",58987,"Brandon","Hillsborough County"
"33414",58842,"Wellington","Palm Beach County"
"32246",58684,"Jacksonville","Duval County"
"32068",57372,"Middleburg","Clay County"
"33032",57327,"Homestead","Miami-Dade County"
"32703",57046,"Apopka","Orange County"
"33458",56799,"Jupiter","Palm Beach County"
"33177",56791,"Miami","Miami-Dade County"
"32824",56484,"Orlando","Orange County"
"33578",55724,"Riverview","Hillsborough County"
"33018",55241,"Hialeah","Miami-Dade County"
"33063",55143,"Pompano Beach","Broward County"
"33467",55101,"Lake Worth","Palm Beach County"
"33125",54873,"Miami","Miami-Dade County"
"34741",54464,"Kissimmee","Osceola County"
"33196",54187,"Miami","Miami-Dade County"
"32225",54073,"Jacksonville","Duval County"
"34746",53653,"Kissimmee","Osceola County"
"33312",53409,"Fort Lauderdale","Broward County"
"32608",53301,"Gainesville","Alachua County"
"34221",52882,"Palmetto","Manatee County"
"33161",52824,"Miami","Miami-Dade County"
"33068",52792,"Pompano Beach","Broward County"
"32162",52752,"The Villages","Sumter County"
"33176",52719,"Miami","Miami-Dade County"
"32174",52140,"Ormond Beach","Volusia County"
"32792",52120,"Winter Park","Seminole County"
"33165",52047,"Miami","Miami-Dade County"
"33319",52000,"Fort Lauderdale","Broward County"
"33415",51874,"West Palm Beach","Palm Beach County"
"32256",51638,"Jacksonville","Duval County"
"33810",51427,"Lakeland","Polk County"
"32725",50825,"Deltona","Volusia County"
"32164",50721,"Palm Coast","Flagler County"
"33612",50697,"Tampa","Hillsborough County"
"33321",50307,"Fort Lauderdale","Broward County"
"33021",50300,"Hollywood","Broward County"
"33175",50233,"Miami","Miami-Dade County"
"33324",49994,"Fort Lauderdale","Broward County"
"32835",49890,"Orlando","Orange County"
"32303",49824,"Tallahassee","Leon County"
"32712",49738,"Apopka","Orange County"
"32839",49304,"Orlando","Orange County"
"34668",49271,"Port Richey","Pasco County"
"33617",48987,"Tampa","Hillsborough County"
"33615",48849,"Tampa","Hillsborough County"
"32837",48762,"Orlando","Orange County"
"33461",48575,"Lake Worth","Palm Beach County"
"32304",48568,"Tallahassee","Leon County"
"33162",48326,"Miami","Miami-Dade County"
"33179",48196,"Miami","Miami-Dade County"
"32738",47917,"Deltona","Volusia County"
"32907",47823,"Palm Bay","Brevard County"
"33436",47606,"Boynton Beach","Palm Beach County"
"32708",47437,"Winter Springs","Seminole County"
"33193",47116,"Miami","Miami-Dade County"
"33147",47065,"Miami","Miami-Dade County"
"32940",47030,"Melbourne","Brevard County"
"32137",46970,"Palm Coast","Flagler County"
"33614",46844,"Tampa","Hillsborough County"
"33126",46798,"Miami","Miami-Dade County"
"34293",46782,"Venice","Sarasota County"
"34761",46233,"Ocoee","Orange County"
"34983",45943,"Port Saint Lucie","St. Lucie County"
"34786",45914,"Windermere","Orange County"
"34135",45781,"Bonita Springs","Lee County"
"33844",45765,"Haines City","Polk County"
"33428",45694,"Boca Raton","Palm Beach County"
"33610",45622,"Tampa","Hillsborough County"
"33016",45620,"Hialeah","Miami-Dade County"
"33433",45580,"Boca Raton","Palm Beach County"
"34997",45562,"Stuart","Martin County"
"32746",45331,"Lake Mary","Seminole County"
"32092",45098,"Saint Augustine","St. Johns County"
"34655",45050,"New Port Richey","Pasco County"
"33020",44914,"Hollywood","Broward County"
"33029",44876,"Hollywood","Broward County"
"34758",44793,"Kissimmee","Osceola County"
"34609",44696,"Spring Hill","Hernando County"
"32514",43940,"Pensacola","Escambia County"
"34748",43915,"Leesburg","Lake County"
"33009",43893,"Hallandale","Broward County"
"33880",43732,"Winter Haven","Polk County"
"33155",43702,"Miami","Miami-Dade County"
"33076",43660,"Pompano Beach","Broward County"
"34743",43330,"Kissimmee","Osceola County"
"33914",43289,"Cape Coral","Lee County"
"33418",42997,"Palm Beach Gardens","Palm Beach County"
"32566",42878,"Navarre","Santa Rosa County"
"33579",42456,"Riverview","Hillsborough County"
"32724",42326,"Deland","Volusia County"
"32257",42271,"Jacksonville","Duval County"
"33169",42156,"Miami","Miami-Dade County"
"32073",42135,"Orange Park","Clay County"
"33010",42081,"Hialeah","Miami-Dade County"
"33160",42058,"North Miami Beach","Miami-Dade County"
"32224",41919,"Jacksonville","Duval County"
"34952",41779,"Port Saint Lucie","St. Lucie County"
"33624",41661,"Tampa","Hillsborough County"
"32258",41595,"Jacksonville","Duval County"
"32526",41522,"Pensacola","Escambia County"
"34208",41521,"Bradenton","Manatee County"
"32935",41342,"Melbourne","Brevard County"
"32216",41010,"Jacksonville","Duval County"
"32404",40969,"Panama City","Bay County"
"33014",40739,"Hialeah","Miami-Dade County"
"33322",40738,"Fort Lauderdale","Broward County"
"33604",40328,"Tampa","Hillsborough County"
"33172",40278,"Miami","Miami-Dade County"
"32811",40191,"Orlando","Orange County"
"32065",40035,"Orange Park","Clay County"
"32034",40026,"Fernandina Beach","Nassau County"
"33837",39979,"Davenport","Polk County"
"34203",39757,"Bradenton","Manatee County"
"32571",39756,"Milton","Santa Rosa County"
"32955",39745,"Rockledge","Brevard County"
"33071",39677,"Coral Springs","Broward County"
"34759",39528,"Kissimmee","Polk County"
"33619",39272,"Tampa","Hillsborough County"
"33905",39247,"Fort Myers","Lee County"
"33881",38946,"Winter Haven","Polk County"
"32707",38868,"Casselberry","Seminole County"
