"zip","population","city","county"
"60629",108997,"Chicago","Cook County"
"60618",92235,"Chicago","Cook County"
"60632",86372,"Chicago","Cook County"
"60647",85685,"Chicago","Cook County"
"60639",85248,"Chicago","Cook County"
"60804",84189,"Cicero","Cook County"
"60617",83188,"Chicago","Cook County"
"60608",82749,"Chicago","Cook County"
"60625",80296,"Chicago","Cook County"
"60623",76611,"Chicago","Cook County"
"60634",75873,"Chicago","Cook County"
"60614",71701,"Chicago","Cook County"
"60085",71465,"Waukegan","Lake County"
"60657",71192,"Chicago","Cook County"
"60641",68968,"Chicago","Cook County"
"60620",68330,"Chicago","Cook County"
"60640",67317,"Chicago","Cook County"
"60651",65229,"Chicago","Cook County"
"60402",64659,"Berwyn","Cook County"
"60609",63241,"Chicago","Cook County"
"60073",62071,"Round Lake","Lake County"
"60016",61988,"Des Plaines","Cook County"
"60628",61419,"Chicago","Cook County"
"60619",60443,"Chicago","Cook County"
"60505",59466,"Aurora","Kane County"
"60638",57799,"Chicago","Cook County"
"60453",57665,"Oak Lawn","Cook County"
"60056",56651,"Mount Prospect","Cook County"
"60630",55295,"Chicago","Cook County"
"60622",53944,"Chicago","Cook County"
"61761",53423,"Normal","McLean County"
"60411",53222,"Chicago Heights","Cook County"
"60616",52707,"Chicago","Cook County"
"60148",52598,"Lombard","DuPage County"
"60004",52189,"Arlington Heights","Cook County"
"60613",51961,"Chicago","Cook County"
"60440",51412,"Bolingbrook","Will County"
"60637",51145,"Chicago","Cook County"
"60120",50589,"Elgin","Cook County"
"60506",50300,"Aurora","Kane County"
"60649",50143,"Chicago","Cook County"
"60626",50135,"Chicago","Cook County"
"60123",49537,"Elgin","Kane County"
"60644",49445,"Chicago","Cook County"
"60645",48692,"Chicago","Cook County"
"60435",48574,"Joliet","Will County"
"60014",48568,"Crystal Lake","McHenry County"
"60643",48270,"Chicago","Cook County"
"60126",48032,"Elmhurst","DuPage County"
"60586",48029,"Plainfield","Will County"
"60564",46832,"Naperville","Will County"
"60010",46674,"Barrington","Cook County"
"61265",44006,"Moline","Rock Island County"
"60047",43750,"Lake Zurich","Lake County"
"60201",43122,"Evanston","Cook County"
"60610",42904,"Chicago","Cook County"
"60660",42895,"Chicago","Cook County"
"60089",42867,"Buffalo Grove","Lake County"
"60615",42780,"Chicago","Cook County"
"60540",42756,"Naperville","DuPage County"
"60659",42621,"Chicago","Cook County"
"60115",42456,"Dekalb","DeKalb County"
"60652",42223,"Chicago","Cook County"
"60188",42219,"Carol Stream","DuPage County"
"60103",42047,"Bartlett","DuPage County"
"60062",42004,"Northbrook","Cook County"
"60446",41253,"Romeoville","Will County"
"60462",40942,"Orland Park","Cook County"
"60025",40858,"Glenview","Cook County"
"60707",40845,"Elmwood Park","Cook County"
"61554",40775,"Pekin","Tazewell County"
"62040",40716,"Granite City","Madison County"
"60543",40714,"Oswego","Kendall County"
"62704",40495,"Springfield","Sangamon County"
"60193",39451,"Schaumburg","Cook County"
"60107",39450,"Streamwood","Cook County"
"60110",39383,"Carpentersville","Kane County"
"60068",39332,"Park Ridge","Cook County"
"60504",39128,"Aurora","DuPage County"
"60137",38945,"Glen Ellyn","DuPage County"
"60565",38942,"Naperville","DuPage County"
"60090",38753,"Wheeling","Cook County"
"60563",38702,"Naperville","DuPage County"
"60067",38380,"Palatine","Cook County"
"61820",38128,"Champaign","Champaign County"
"61201",37838,"Rock Island","Rock Island County"
"61704",37517,"Bloomington","McLean County"
