"zip","population","city","county"
"48197",66422,"Ypsilanti","Washtenaw County"
"48180",62937,"Taylor","Wayne County"
"48044",59225,"Macomb","Macomb County"
"48228",54670,"Detroit","Wayne County"
"48103",54563,"Ann Arbor","Washtenaw County"
"48126",53044,"Dearborn","Wayne County"
"48187",52861,"Canton","Wayne County"
"48439",52012,"Grand Blanc","Genesee County"
"48823",49713,"East Lansing","Ingham County"
"49201",49509,"Jackson","Jackson County"
"48185",48622,"Westland","Wayne County"
"49424",48493,"Holland","Ottawa County"
"48066",47476,"Roseville","Macomb County"
"49009",47139,"Kalamazoo","Kalamazoo County"
"48843",46734,"Howell","Livingston County"
"49423",46467,"Holland","Allegan County"
"48235",45529,"Detroit","Wayne County"
"48188",45390,"Canton","Wayne County"
"48104",45161,"Ann Arbor","Washtenaw County"
"49442",45137,"Muskegon","Muskegon County"
"48219",44595,"Detroit","Wayne County"
"48038",44255,"Clinton Township","Macomb County"
"48111",44169,"Belleville","Wayne County"
"48307",43799,"Rochester","Oakland County"
"48310",43232,"Sterling Heights","Macomb County"
"48212",43213,"Hamtramck","Wayne County"
"48858",43036,"Mount Pleasant","Isabella County"
"49508",42515,"Grand Rapids","Kent County"
"48183",42467,"Trenton","Wayne County"
"48221",41570,"Detroit","Wayne County"
"49221",41209,"Adrian","Lenawee County"
"48911",40755,"Lansing","Ingham County"
"49504",40686,"Grand Rapids","Kent County"
"48170",40675,"Plymouth","Wayne County"
"49426",40410,"Hudsonville","Ottawa County"
"48127",40392,"Dearborn Heights","Wayne County"
"48047",39976,"New Baltimore","Macomb County"
"49507",39899,"Grand Rapids","Kent County"
"48198",39867,"Ypsilanti","Washtenaw County"
"48146",39807,"Lincoln Park","Wayne County"
"48060",39644,"Port Huron","St. Clair County"
"48706",39182,"Bay City","Bay County"
"49341",39094,"Rockford","Kent County"
"48227",39024,"Detroit","Wayne County"
"48430",38929,"Fenton","Livingston County"
"48224",38193,"Detroit","Wayne County"
"48105",37598,"Ann Arbor","Washtenaw County"
"49503",37471,"Grand Rapids","Kent County"
"48239",37372,"Redford","Wayne County"
"48154",37267,"Livonia","Wayne County"
"49203",37004,"Jackson","Jackson County"
"48178",36842,"South Lyon","Oakland County"
"49120",36792,"Niles","Berrien County"
"49441",36649,"Muskegon","Muskegon County"
"48186",36184,"Westland","Wayne County"
"48312",34921,"Sterling Heights","Macomb County"
"49548",34615,"Grand Rapids","Kent County"
"48035",34385,"Clinton Township","Macomb County"
"49546",34308,"Grand Rapids","Kent County"
"48021",34087,"Eastpointe","Macomb County"
"48124",34046,"Dearborn","Wayne County"
"48313",34004,"Sterling Heights","Macomb County"
"49506",33877,"Grand Rapids","Kent County"
"48073",33822,"Royal Oak","Oakland County"
"48423",33601,"Davison","Genesee County"
"48642",33483,"Midland","Midland County"
"48910",33221,"Lansing","Ingham County"
"48322",33174,"West Bloomfield","Oakland County"
"49417",33104,"Grand Haven","Ottawa County"
"49855",33075,"Marquette","Marquette County"
"48640",32723,"Midland","Midland County"
"48089",32509,"Warren","Macomb County"
"48234",32402,"Detroit","Wayne County"
"48917",32379,"Lansing","Eaton County"
"49505",32325,"Grand Rapids","Kent County"
"48042",32193,"Macomb","Macomb County"
"48601",32172,"Saginaw","Saginaw County"
"48174",32155,"Romulus","Wayne County"
"48205",31816,"Detroit","Wayne County"
"48236",31130,"Grosse Pointe","Wayne County"
"48152",30954,"Livonia","Wayne County"
"48446",30693,"Lapeer","Lapeer County"
"48309",30626,"Rochester","Oakland County"
"49024",30539,"Portage","Kalamazoo County"
"49525",30509,"Grand Rapids","Kent County"
"49418",30419,"Grandville","Kent County"
"48091",30063,"Warren","Macomb County"
"49022",29985,"Benton Harbor","Berrien County"
"48195",29948,"Southgate","Wayne County"
"48237",29495,"Oak Park","Oakland County"
"49015",29361,"Battle Creek","Calhoun County"
"48507",29357,"Flint","Genesee County"
"49464",29027,"Zeeland","Ottawa County"
"48162",28740,"Monroe","Monroe County"
"49509",28549,"Wyoming","Kent County"
"48071",28521,"Madison Heights","Oakland County"
"48603",28426,"Saginaw","Saginaw County"
"48101",28395,"Allen Park","Wayne County"
"49401",28358,"Allendale","Ottawa County"
"48316",28263,"Utica","Macomb County"
"48315",28248,"Utica","Macomb County"
"48317",28091,"Utica","Macomb County"
"48306",28083,"Rochester","Oakland County"
"49519",28070,"Wyoming","Kent County"
"48092",27848,"Warren","Macomb County"
"49428",27793,"Jenison","Ottawa County"
"48602",27575,"Saginaw","Saginaw County"
"48336",27558,"Farmington","Oakland County"
"48085",27514,"Troy","Oakland County"
"48135",27203,"Garden City","Wayne County"
"48867",27154,"Owosso","Shiawassee County"
"48116",26999,"Brighton","Livingston County"
"48209",26944,"Detroit","Wayne County"
"48108",26888,"Ann Arbor","Washtenaw County"
"48161",26775,"Monroe","Monroe County"
"49006",26730,"Kalamazoo","Kalamazoo County"
"48150",26707,"Livonia","Wayne County"
"48210",26547,"Detroit","Wayne County"
"49444",26309,"Muskegon","Muskegon County"
"48371",26098,"Oxford","Oakland County"
"48340",25957,"Pontiac","Oakland County"
"48906",25953,"Lansing","Clinton County"
"48708",25857,"Bay City","Bay County"
"48141",25839,"Inkster","Wayne County"
"48433",25824,"Flushing","Genesee County"
"48223",25747,"Detroit","Wayne County"
"48328",25717,"Waterford","Oakland County"
"48168",25444,"Northville","Wayne County"
"49315",25397,"Byron Center","Kent County"
"49316",25291,"Caledonia","Kent County"
"49686",25282,"Traverse City","Grand Traverse County"
"49036",24990,"Coldwater","Branch County"
"48192",24857,"Wyandotte","Wayne County"
"48506",24837,"Flint","Genesee County"
"48348",24819,"Clarkston","Oakland County"
"48238",24565,"Detroit","Wayne County"
"48093",24441,"Warren","Macomb County"
"48067",24285,"Royal Oak","Oakland County"
"48045",24259,"Harrison Township","Macomb County"
"48076",24254,"Southfield","Oakland County"
"48335",24229,"Farmington","Oakland County"
"48134",24114,"Flat Rock","Wayne County"
"48326",24105,"Auburn Hills","Oakland County"
"48504",23941,"Flint","Genesee County"
"48375",23933,"Novi","Oakland County"
"48329",23932,"Waterford","Oakland County"
"48390",23854,"Walled Lake","Oakland County"
"49085",23778,"Saint Joseph","Berrien County"
"48382",23765,"Commerce Township","Oakland County"
"48088",23727,"Warren","Macomb County"
"49048",23626,"Kalamazoo","Kalamazoo County"
"48083",23540,"Troy","Oakland County"
"48075",23416,"Southfield","Oakland County"
"48864",23359,"Okemos","Ingham County"
"48176",23240,"Saline","Washtenaw County"
"48346",23212,"Clarkston","Oakland County"
"49534",23008,"Grand Rapids","Ottawa County"
"48503",22891,"Flint","Genesee County"
"48167",22830,"Northville","Oakland County"
"48473",22586,"Swartz Creek","Genesee County"
"48442",22416,"Holly","Oakland County"
"49601",22300,"Cadillac","Wexford County"
"48331",22152,"Farmington","Oakland County"
